WHO Reference Number,"INN, Dosage Form and Strength",Product Type,Therapeutic Area,Applicant,Dosage Form,Basis of Listing,Basis of alternative listing,Date of Prequalification,Prequal_Date,Year
HA106,"Abacavir (sulfate) Tablet, Film-coated 300mg",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare BV,"Tablet, Film-coated",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA107,"Abacavir (sulfate) Solution, Oral 20mg/mL",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare BV,"Solution, Oral",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA108,"Zidovudine Capsules, hard 100mg",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare UK Limited,"Capsules, hard",Prequalification - Abridged,,"29  May,  2002",2002-05-29,2002.0
HA109,"Zidovudine Capsules, hard 250mg",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare UK Limited,"Capsules, hard",Prequalification - Abridged,,"29  May,  2002",2002-05-29,2002.0
HA110,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare BV,"Tablet, Film-coated",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA114,Zidovudine Solution for injection 10mg/mL,Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare UK Limited,Solution for injection,Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA115,"Zidovudine Solution, Oral 50mg/5mL",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare UK Limited,"Solution, Oral",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA117,"Lamivudine Tablet, Film-coated 150mg",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare BV,"Tablet, Film-coated",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA128,"Lamivudine Solution, Oral 10mg/mL",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare BV,"Solution, Oral",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
HA200,"Nevirapine Suspension, Oral 50mg/5mL",Finished Pharmaceutical Product,HIV/AIDS,Cipla Ltd,"Suspension, Oral",Prequalification - Full,,"25  May,  2009",2009-05-25,2009.0
HA286,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Sun Pharmaceutical Industries Limited,"Tablet, Film-coated",Prequalification - Full,,"11  Aug,  2005",2005-08-11,2005.0
HA306,"Efavirenz Tablet, Film-coated 600mg",Finished Pharmaceutical Product,HIV/AIDS,Sun Pharmaceutical Industries Limited,"Tablet, Film-coated",Prequalification - Full,,"23  May,  2006",2006-05-23,2006.0
HA381,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg",Finished Pharmaceutical Product,HIV/AIDS,AbbVie Deutschland GmbH and Co. KG,"Tablet, Film-coated",Prequalification - Abridged,,"30  Oct,  2006",2006-10-30,2006.0
HA392,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"23  Apr,  2008",2008-04-23,2008.0
HA403,"Efavirenz Tablet, Film-coated 600mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"25  Jul,  2008",2008-07-25,2008.0
HA410,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"27  Oct,  2009",2009-10-27,2009.0
HA414,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"30  Jun,  2010",2010-06-30,2010.0
HA417,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"20  Aug,  2010",2010-08-20,2010.0
HA433,"Lamivudine/Nevirapine/Zidovudine Tablet, Dispersible 30mg/50mg/60mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Dispersible",Prequalification - Full,,"26  Oct,  2009",2009-10-26,2009.0
HA439,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Cipla Ltd,"Tablet, Film-coated",Prequalification - Full,,"5  Oct,  2011",2011-10-05,2011.0
HA444,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"25  Oct,  2010",2010-10-25,2010.0
HA466,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/300mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"25  Oct,  2010",2010-10-25,2010.0
HA467,"Ritonavir Tablet, Film-coated 100mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"14  Dec,  2010",2010-12-14,2010.0
HA479,Ceftriaxone (sodium) Powder for solution for injection 1000mg,Finished Pharmaceutical Product,HIV/AIDS,Egyptian International Pharmaceutical Industries,Powder for solution for injection,Prequalification - Full,,"16  May,  2014",2014-05-16,2014.0
HA480,Ceftriaxone (sodium) Powder for solution for injection 500mg,Finished Pharmaceutical Product,HIV/AIDS,Egyptian International Pharmaceutical Industries,Powder for solution for injection,Prequalification - Full,,"16  May,  2014",2014-05-16,2014.0
HA485,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Micro Labs Limited,"Tablet, Film-coated",Prequalification - Full,,"25  Oct,  2010",2010-10-25,2010.0
HA486,"Zidovudine Solution, Oral 10mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Solution, Oral",Prequalification - Full,,"3  Nov,  2011",2011-11-03,2011.0
HA491,"Ritonavir Tablet, Film-coated 100mg",Finished Pharmaceutical Product,HIV/AIDS,AbbVie Deutschland GmbH and Co. KG,"Tablet, Film-coated",Prequalification - Abridged,,"1  Jun,  2010",2010-06-01,2010.0
HA492,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"11  Jan,  2013",2013-01-11,2013.0
HA498,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"24  Jun,  2013",2013-06-24,2013.0
HA514,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Macleods Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"10  Apr,  2014",2014-04-10,2014.0
HA515,Ganciclovir (sodium) Powder for solution for injection 500mg,Finished Pharmaceutical Product,HIV/AIDS,Hainan Poly Pharma Co Ltd,Powder for solution for injection,Prequalification - Full,,"20  Dec,  2012",2012-12-20,2012.0
HA521,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"14  Jun,  2013",2013-06-14,2013.0
HA523,"Lamivudine Solution, Oral 10mg/mL",Finished Pharmaceutical Product,HIV/AIDS,Macleods Pharmaceuticals Ltd,"Solution, Oral",Prequalification - Full,,"5  Feb,  2013",2013-02-05,2013.0
HA525,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Sun Pharmaceutical Industries Limited,"Tablet, Film-coated",Prequalification - Full,,"11  Sep,  2012",2012-09-11,2012.0
HA526,"Zidovudine Solution, Oral 10mg/mL",Finished Pharmaceutical Product,HIV/AIDS,Macleods Pharmaceuticals Ltd,"Solution, Oral",Prequalification - Full,,"14  Jun,  2013",2013-06-14,2013.0
HA529,"Darunavir (ethanolate) Tablet, Film-coated 75mg",Finished Pharmaceutical Product,HIV/AIDS,Janssen Research & Development LLC,"Tablet, Film-coated",Prequalification - Abridged,,"11  Sep,  2012",2012-09-11,2012.0
HA530,"Darunavir (ethanolate) Tablet, Film-coated 150mg",Finished Pharmaceutical Product,HIV/AIDS,Janssen Research & Development LLC,"Tablet, Film-coated",Prequalification - Abridged,,"11  Sep,  2012",2012-09-11,2012.0
HA532,Etravirine Tablet 100mg,Finished Pharmaceutical Product,HIV/AIDS,Janssen Research & Development LLC,Tablet,Prequalification - Abridged,,"11  Sep,  2012",2012-09-11,2012.0
HA535,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg",Finished Pharmaceutical Product,HIV/AIDS,Strides Pharma Science Limited,"Tablet, Film-coated",Prequalification - Full,,"21  Oct,  2013",2013-10-21,2013.0
HA538,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"19  Feb,  2014",2014-02-19,2014.0
HA549,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/300mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"30  Jun,  2017",2017-06-30,2017.0
HA551,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Sun Pharmaceutical Industries Limited,"Tablet, Film-coated",Prequalification - Full,,"12  Feb,  2015",2015-02-12,2015.0
HA552,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Strides Pharma Science Limited,"Tablet, Film-coated",Prequalification - Full,,"18  Feb,  2015",2015-02-18,2015.0
HA553,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Strides Pharma Science Limited,"Tablet, Film-coated",Prequalification - Full,,"12  Dec,  2014",2014-12-12,2014.0
HA561,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Macleods Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"8  Apr,  2014",2014-04-08,2014.0
HA562,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Macleods Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"17  Nov,  2014",2014-11-17,2014.0
HA572,"Lamivudine/Zidovudine Tablet, Dispersible 30mg/60mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Dispersible",Prequalification - Full,,"10  Apr,  2014",2014-04-10,2014.0
HA573,"Lopinavir/Ritonavir Tablet, Film-coated 100mg/25mg",Finished Pharmaceutical Product,HIV/AIDS,Macleods Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"9  Sep,  2015",2015-09-09,2015.0
HA595,"Ondansetron (hydrochloride) Tablet, Film-coated 4mg",Finished Pharmaceutical Product,HIV/AIDS,Cadila Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"27  Aug,  2015",2015-08-27,2015.0
HA596,"Ondansetron (hydrochloride) Tablet, Film-coated 8mg",Finished Pharmaceutical Product,HIV/AIDS,Cadila Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"27  Aug,  2015",2015-08-27,2015.0
HA597,Ondansetron (hydrochloride) Solution for injection 4mg/2mL,Finished Pharmaceutical Product,HIV/AIDS,Demo SA,Solution for injection,Prequalification - Abridged,,"21  Oct,  2013",2013-10-21,2013.0
HA598,Sulfamethoxazole/Trimethoprim Tablet 400mg/80mg,Finished Pharmaceutical Product,HIV/AIDS,Micro Labs Limited,Tablet,Prequalification - Full,,"23  May,  2016",2016-05-23,2016.0
HA599,Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg,Finished Pharmaceutical Product,HIV/AIDS,Micro Labs Limited,Tablet,Prequalification - Full,,"23  May,  2016",2016-05-23,2016.0
HA600,Etravirine Tablet 25mg,Finished Pharmaceutical Product,HIV/AIDS,Janssen-Cilag International NV,Tablet,Prequalification - Abridged,,"21  Oct,  2013",2013-10-21,2013.0
HA602,Aciclovir Powder for solution for injection 250mg/vial,Finished Pharmaceutical Product,HIV/AIDS,Demo SA,Powder for solution for injection,Prequalification - Abridged,,"8  Jan,  2014",2014-01-08,2014.0
HA607,Ondansetron (hydrochloride) Solution for injection 8mg/4mL,Finished Pharmaceutical Product,HIV/AIDS,Demo SA,Solution for injection,Prequalification - Abridged,,"21  Oct,  2013",2013-10-21,2013.0
HA620,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Micro Labs Limited,"Tablet, Film-coated",Prequalification - Full,,"9  Jul,  2015",2015-07-09,2015.0
HA621,"Ritonavir Tablet, Film-coated 25mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"16  Dec,  2015",2015-12-16,2015.0
HA622,Ceftriaxone (sodium) Powder for solution for injection 1g,Finished Pharmaceutical Product,HIV/AIDS,Sinopharm Zhijun (Shenzhen) Pharm Co. Ltd,Powder for solution for injection,Prequalification - Full,,"15  Aug,  2016",2016-08-15,2016.0
HA631,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Micro Labs Limited,"Tablet, Film-coated",Prequalification - Full,,"27  May,  2016",2016-05-27,2016.0
HA634,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,ViiV Healthcare BV,"Tablet, Film-coated",Prequalification - Abridged,,"14  Oct,  2014",2014-10-14,2014.0
HA635,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"16  Dec,  2015",2015-12-16,2015.0
HA680,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Cipla Ltd,"Tablet, Film-coated",Prequalification - Full,,"24  Oct,  2017",2017-10-24,2017.0
HA682,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"17  Jul,  2018",2018-07-17,2018.0
HA694,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated",Prequalification - Full,,"2  Nov,  2020",2020-11-02,2020.0
HA701,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Emcure Pharmaceuticals Limited,"Tablet, Film-coated",Prequalification - Full,,"3  Mar,  2020",2020-03-03,2020.0
HA708,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Sun Pharmaceutical Industries Limited,"Tablet, Film-coated",Prequalification - Full,,"18  Aug,  2020",2020-08-18,2020.0
HA718,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Laurus Labs Limited,"Tablet, Film-coated",Prequalification - Full,,"14  Oct,  2019",2019-10-14,2019.0
HA731,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Strides Pharma Science Limited,"Tablet, Film-coated",Prequalification - Full,,"23  Aug,  2022",2022-08-23,2022.0
HA751,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,Micro Labs Limited,"Tablet, Film-coated",Prequalification - Full,,"6  Jan,  2021",2021-01-06,2021.0
HA794,"Dolutegravir (sodium) Tablet, Film-coated 50mg",Finished Pharmaceutical Product,HIV/AIDS,RV Lifesciences Limited,"Tablet, Film-coated",Prequalification - Full,,"19  Jun,  2026",2026-06-19,2026.0
HP001,"Sofosbuvir Tablet, Film-coated 400mg",Finished Pharmaceutical Product,Hepatitis B and C,Mylan Laboratories Ltd.,"Tablet, Film-coated",Prequalification - Full,,"20  Jul,  2017",2017-07-20,2017.0
HP002,"Sofosbuvir Tablet, Film-coated 400mg",Finished Pharmaceutical Product,Hepatitis B and C,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"7  Feb,  2018",2018-02-07,2018.0
HP003,"Sofosbuvir Tablet, Film-coated 400mg",Finished Pharmaceutical Product,Hepatitis B and C,European Egyptian Pharmaceuticals Industries Co,"Tablet, Film-coated",Prequalification - Full,,"18  Dec,  2018",2018-12-18,2018.0
HP011,"Daclatasvir (dihydrochloride) Tablet, Film-coated 30mg",Finished Pharmaceutical Product,Hepatitis B and C,Hetero Labs Ltd,"Tablet, Film-coated",Prequalification - Full,,"17  Dec,  2019",2019-12-17,2019.0
HP024,"Sofosbuvir/Velpatasvir Tablet, Film-coated 400mg/100mg",Finished Pharmaceutical Product,Hepatitis B and C,Gilead Sciences Ireland UC,"Tablet, Film-coated",Prequalification - Abridged,,"6  Feb,  2019",2019-02-06,2019.0
HP030,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg",Finished Pharmaceutical Product,Hepatitis B and C,"Shijiazhuang Lonzeal Pharmaceuticals Co., Ltd.","Tablet, Film-coated",Prequalification - Full,,"27  Aug,  2024",2024-08-27,2024.0
HP031,"Entecavir Tablet, Film-coated 0.5 mg",Finished Pharmaceutical Product,Hepatitis B and C,"BrightGene Bio-Medical Technology Co., Ltd","Tablet, Film-coated",Prequalification - Abridged,,"22  Mar,  2022",2022-03-22,2022.0
HP035,"Entecavir Tablet, Film-coated 0.5mg",Finished Pharmaceutical Product,Hepatitis B and C,RV Lifesciences Limited,"Tablet, Film-coated",Prequalification - Full,,"19  Feb,  2025",2025-02-19,2025.0
IN001,"Oseltamivir (phosphate) Capsules, hard 75mg",Finished Pharmaceutical Product,Influenza,Cipla Ltd,"Capsules, hard",Prequalification - Full,,"13  May,  2009",2009-05-13,2009.0
IN004,"Oseltamivir (phosphate) Capsules, hard 30mg",Finished Pharmaceutical Product,Influenza,Roche Registration GmbH,"Capsules, hard",Prequalification - Abridged,,"21  Sep,  2009",2009-09-21,2009.0
IN018,"Oseltamivir (phosphate) Capsules, hard 30mg",Finished Pharmaceutical Product,Influenza,MSN Laboratories Private Limited,"Capsules, hard",Prequalification - Full,,"14  Jul,  2020",2020-07-14,2020.0
MA026,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Novartis Pharma AG,Tablet,Prequalification - Abridged,,"26  Apr,  2004",2004-04-26,2004.0
MA051,Artesunate Powder for solution for injection 60mg,Finished Pharmaceutical Product,Malaria,"Guilin Pharmaceutical Co., Ltd.",Powder for solution for injection,Prequalification - Full,,"5  Nov,  2010",2010-11-05,2010.0
MA062,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Ipca Laboratories Ltd,Tablet,Prequalification - Full,,"15  Dec,  2009",2009-12-15,2009.0
MA064,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Cipla Ltd,Tablet,Prequalification - Full,,"22  May,  2009",2009-05-22,2009.0
MA091,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Macleods Pharmaceuticals Ltd,Tablet,Prequalification - Full,,"21  Oct,  2013",2013-10-21,2013.0
MA099,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Mylan Laboratories Ltd.,Tablet,Prequalification - Full,,"16  May,  2014",2014-05-16,2014.0
MA108,Artemether/Lumefantrine Tablet 80mg/480mg,Finished Pharmaceutical Product,Malaria,Novartis Pharma AG,Tablet,Prequalification - Full,,"15  Jul,  2015",2015-07-15,2015.0
MA111,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Ajanta Pharma Ltd,Tablet,Prequalification - Full,,"6  Oct,  2014",2014-10-06,2014.0
MA128,Artemether/Lumefantrine Tablet 40mg/240mg,Finished Pharmaceutical Product,Malaria,Ajanta Pharma Ltd,Tablet,Prequalification - Full,,"21  Apr,  2017",2017-04-21,2017.0
MA129,Artemether/Lumefantrine Tablet 60mg/360mg,Finished Pharmaceutical Product,Malaria,Ajanta Pharma Ltd,Tablet,Prequalification - Full,,"21  Apr,  2017",2017-04-21,2017.0
MA130,Artemether/Lumefantrine Tablet 80mg/480mg,Finished Pharmaceutical Product,Malaria,Ajanta Pharma Ltd,Tablet,Prequalification - Full,,"21  Apr,  2017",2017-04-21,2017.0
MA142,Artemether/Lumefantrine Tablet 80mg/480mg,Finished Pharmaceutical Product,Malaria,Macleods Pharmaceuticals Ltd,Tablet,Prequalification - Full,,"22  Aug,  2019",2019-08-22,2019.0
MA143,Artemether/Lumefantrine Tablet 40mg/240mg,Finished Pharmaceutical Product,Malaria,Macleods Pharmaceuticals Ltd,Tablet,Prequalification - Full,,"22  Aug,  2019",2019-08-22,2019.0
MA160,Artemether/Lumefantrine Tablet 80mg/480mg,Finished Pharmaceutical Product,Malaria,Ipca Laboratories Ltd,Tablet,Prequalification - Full,,"1  Feb,  2022",2022-02-01,2022.0
MA167,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Laboratorios Basi - Industria Farmaceutica SA,Tablet,Prequalification - Full,,"9  Feb,  2022",2022-02-09,2022.0
MA180,Pyrimethamine/Sulfadoxine Tablet 25mg/500mg,Finished Pharmaceutical Product,Malaria,Swiss Pharma Nigeria Ltd,Tablet,Prequalification - Full,,"16  Aug,  2024",2024-08-16,2024.0
MA193,Pyrimethamine/Sulfadoxine Tablet 25mg/500mg,Finished Pharmaceutical Product,Malaria,S Kant Healthcare Ltd.,Tablet,Prequalification - Full,,"2  May,  2024",2024-05-02,2024.0
MA203,"Tafenoquine Tablet, Film-coated 150mg",Finished Pharmaceutical Product,Malaria,GlaxoSmithKline Australia Pty Ltd,"Tablet, Film-coated",Prequalification - Abridged,,"28  Oct,  2024",2024-10-28,2024.0
MA205,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Velvet Med-Healthcare Solutions S.A,Tablet,Prequalification - Full,,"5  Jul,  2025",2025-07-05,2025.0
MA210,Artemether/Lumefantrine Tablet 80mg/480mg,Finished Pharmaceutical Product,Malaria,Velvet Med-Healthcare Solutions S.A,Tablet,Prequalification - Full,,"9  Sep,  2025",2025-09-09,2025.0
MA211,Artemether/Lumefantrine Tablet 20mg/120mg,Finished Pharmaceutical Product,Malaria,Quality Chemical Industries Limited,Tablet,Prequalification - Full,,"27  Aug,  2026",2026-08-27,2026.0
MR001,Cefiderocol Powder for concentrate for solution for infusion 1g/vial,Finished Pharmaceutical Product,Multi-drug resistant bacterial infections,Shionogi B.V.,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"22  Feb,  2024",2024-02-22,2024.0
NT005,Albendazole Tablet 400mg,Finished Pharmaceutical Product,Neglected tropical diseases,Cipla Ltd,Tablet,Prequalification - Full,,"31  Mar,  2021",2021-03-31,2021.0
NT007,Ivermectin Tablet 3mg,Finished Pharmaceutical Product,Neglected tropical diseases,Laboratorios Liconsa SA,Tablet,Prequalification - Full,,"1  Jul,  2021",2021-07-01,2021.0
NT013,"Praziquantel Tablet, Film-coated 600mg",Finished Pharmaceutical Product,Neglected tropical diseases,Merck Healthcare KGaA,"Tablet, Film-coated",Prequalification - Full,,"22  Feb,  2024",2024-02-22,2024.0
NT020,"Azithromycin Tablet, Film-coated 500mg",Finished Pharmaceutical Product,Neglected tropical diseases,Rusan Pharma Ltd.,"Tablet, Film-coated",Prequalification - Full,,"19  Dec,  2025",2025-12-19,2025.0
NT022,"Praziquantel Tablet, Film-coated 600mg",Finished Pharmaceutical Product,Neglected tropical diseases,Mepro Pharmaceuticals Pvt. Ltd.,"Tablet, Film-coated",Prequalification - Full,,"19  Jun,  2026",2026-06-19,2026.0
RH039,Misoprostol Tablet 200mcg,Finished Pharmaceutical Product,Reproductive health,Cipla Ltd,Tablet,Prequalification - Full,,"8  Apr,  2014",2014-04-08,2014.0
RH050,Oxytocin Solution for injection 10IU/mL,Finished Pharmaceutical Product,Reproductive health,PT Sanbe Farma,Solution for injection,Prequalification - Full,,"30  Jun,  2017",2017-06-30,2017.0
RH051,Mifepristone Tablet 200mg,Finished Pharmaceutical Product,Reproductive health,Linepharma International Ltd,Tablet,Prequalification - Abridged,,"6  Oct,  2014",2014-10-06,2014.0
RH079,Oxytocin Solution for injection 10IU/ml,Finished Pharmaceutical Product,Reproductive health,JSC Grindeks,Solution for injection,Prequalification - Full,,"14  Oct,  2019",2019-10-14,2019.0
RH095,Carbetocin Solution for injection 100 mcg/ml,Finished Pharmaceutical Product,Reproductive health,Ferring International Center SA,Solution for injection,Prequalification - Full,,"4  Jul,  2022",2022-07-04,2022.0
RH100,Levonorgestrel Intra-uterine system 52mg,Finished Pharmaceutical Product,Reproductive health,Bayer AG,Intra-uterine system,Prequalification - Abridged,,"17  Mar,  2022",2022-03-17,2022.0
RH110,Oxytocin Solution for injection 10 IU/ml,Finished Pharmaceutical Product,Reproductive health,JSC Grindeks,Solution for injection,Prequalification - Abridged,,"27  Sep,  2025",2025-09-27,2025.0
TB008,"Ethambutol hydrochloride Tablet, Film-coated 400mg",Finished Pharmaceutical Product,Tuberculosis,Cadila Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"13  Nov,  2003",2003-11-13,2003.0
TB158,"Isoniazid/Rifampicin Tablet, Film-coated 75mg/150mg",Finished Pharmaceutical Product,Tuberculosis,Macleods Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"7  Mar,  2008",2008-03-07,2008.0
TB223,"Ethambutol hydrochloride/Isoniazid/Pyrazinamide/Rifampicin Tablet, Film-coated 275mg/75mg/400mg/150mg",Finished Pharmaceutical Product,Tuberculosis,Micro Labs Limited,"Tablet, Film-coated",Prequalification - Full,,"7  Dec,  2016",2016-12-07,2016.0
TB259,"Rifampicin Capsules, hard 150mg",Finished Pharmaceutical Product,Tuberculosis,Macleods Pharmaceuticals Ltd,"Capsules, hard",Prequalification - Full,,"7  Sep,  2016",2016-09-07,2016.0
TB297,"Linezolid Tablet, Film-coated 600mg",Finished Pharmaceutical Product,Tuberculosis,Macleods Pharmaceuticals Ltd,"Tablet, Film-coated",Prequalification - Full,,"12  Dec,  2017",2017-12-12,2017.0
TB319,Amikacin (sulfate) Solution for injection 500mg,Finished Pharmaceutical Product,Tuberculosis,"Qilu Pharmaceutical Co.,Ltd",Solution for injection,Prequalification - Full,,"11  May,  2018",2018-05-11,2018.0
